id full_name image appearance
58 Koby https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7080185-3598363858-Scree.jpg 13
59 Whitebeard https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7080094-3070464100-0551-.jpg 13
60 Marco https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7079389-7485116704-unkno.png 13
61 Chimney https://comicvine.gamespot.com/a/uploads/square_small/4/47703/3041667-3913941877-62739.png 13
66 "Charlotte Perospero" https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7079979-6343637487-unkno.png 13
67 Spandam https://comicvine.gamespot.com/a/uploads/square_small/4/47703/3051082-0620742547-Spand.png 12
68 Blueno https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7081075-7447637840-latest 12
69 Kizaru https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7078589-6540662132-latest 12
70 Akainu https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7078660-5970374352-unkno.png 12
71 Bepo https://comicvine.gamespot.com/a/uploads/square_small/4/47703/2962323-599714-bepo.png 12
72 "Baron Tamago" https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7079149-8610699048-x8.pn.jpg 12
73 Cabaji https://comicvine.gamespot.com/a/uploads/square_small/4/47703/3041566-5238402830-13686.jpg 12
74 Chaka https://comicvine.gamespot.com/a/uploads/square_small/4/47703/3041653-9554350847-63171.png 12
75 "Kiwi Square" https://comicvine.gamespot.com/a/uploads/square_small/4/47703/3044534-mozu_and_kiwi_manga_infobox.png 12
76 "Mozu Square" https://comicvine.gamespot.com/a/uploads/square_small/4/47703/3044540-mozu_and_kiwi_manga_infobox.png 12
78 Pekoms https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7079150-3893386989-x5.pn.jpg 12
82 "Raizo of the Mist" https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7080266-7794794661-Scree.jpg 12
83 Kikunojo https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7097951-1134821796-Volum.png 12
84 "Ashura Doji" https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/6773726-1986566896-latest 12
85 Queen https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/6773880-4640434840-latest 12
86 Kyoshiro https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/6788806-3543707651-latest 12
87 Fukurokuju https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7078923-0879963599-latest 12
88 Hyogoro https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7081396-1013003011-unkno.png 12
89 Shinobu https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7093001-1878429734-latest 12
90 "Gecko Moria" https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7079931-4441927916-latest 11
91 Jabra https://comicvine.gamespot.com/a/uploads/square_small/4/47703/3044443-7604010829-Jabra.png 11
92 "Miss Doublefinger" https://comicvine.gamespot.com/a/uploads/square_small/1/19859/404025-166921-miss-doublefinger.jpg 11
94 "Lady Alvida" https://comicvine.gamespot.com/a/uploads/square_small/5/58245/1189318-alvida.jpg 11
95 "Boa Hancock" https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/5864178-ed7067e9-03ca-4a23-ca8d-b29bbee48b85.jpg 11
96 Helmeppo https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7080188-0498072452-Scree.jpg 11
97 Hina https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7077604-tumblr_o9xbrx8d7p1r20q0do1_540.jpg 11
98 "Caesar Clown" https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7079129-9360398512-unkno.jpg 11
100 Pell https://comicvine.gamespot.com/a/uploads/square_small/4/47703/3048066-7760117080-Pell_.png 11
102 Pedro https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7111956-8910410819-unkno.png 11
103 King https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/6773879-1872590195-latest 11
104 "Kurozumi Orochi" https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/6773883-0704661834-latest 11
105 "Page One" https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7518641-8702718913-latest.jpg 11
106 "Kozuki Hiyori" https://comicvine.gamespot.com/a/uploads/square_small/6/67663/6825653-1537287273-latest 11
107 Fukurou https://comicvine.gamespot.com/a/uploads/square_small/4/47703/3041968-2266031620-Fukur.png 10
108 "Doc Q" https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7098061-2648718209-unkno.png 10
109 "Gol D. Roger" https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/6766912-gol_d._roger_manga_infobox.png 10
110 Bellamy https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7079203-8320312688-Scree.jpg 10
111 "Jean Bart" https://comicvine.gamespot.com/a/uploads/square_small/4/47703/3044453-8441968950-Jean_.png 10
112 Tsuru https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7098357-0599372519-unkno.png 10
113 Kyros https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7079250-1448239999-latest 10
114 Wanda https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7080144-6664162615-Scree.jpg 10
115 Kawamatsu https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7063243-5875608161-latest 10
116 "Miss Valentine" https://comicvine.gamespot.com/a/uploads/square_small/0/3347/394658-107050-miss-valentine.jpg 9
117 "Mr. 5" https://comicvine.gamespot.com/a/uploads/square_small/0/3347/436023-200px_mr_5.jpg 9
118 "Miss Merry Christmas" https://comicvine.gamespot.com/a/uploads/square_small/0/3347/508675-missmerrychristmas.jpg 9
119 Jozu https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7079388-0022428720-unkno.png 9
120 "Van Auger" https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7098062-9440946705-unkno.png 9
121 Lafitte https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7079974-9421031785-Scree.jpg 9
122 Caribou https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7080589-1754014187-unkno.png 9
123 Diamante https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7079322-8209326295-unkno.png 9
