full_name,image
Lady Nagant,https://static.wikia.nocookie.net/bokunoheroacademia/images/a/aa/Lady_Nagant_Portrait.png/revision/latest/scale-to-width-down/135?cb=20210117200931
Sludge Villain,https://static.wikia.nocookie.net/bokunoheroacademia/images/0/05/Sludge_Villain.png/revision/latest/scale-to-width-down/240?cb=20170701232431
Gunhead,https://static.wikia.nocookie.net/bokunoheroacademia/images/1/15/Gunhead_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20200321203948
Tomura Shigaraki,https://static.wikia.nocookie.net/bokunoheroacademia/images/4/44/Tomura_Shigaraki_Colored_Manga_Portrait.png/revision/latest/scale-to-width-down/135?cb=20200519230222
Slice,https://static.wikia.nocookie.net/bokunoheroacademia/images/5/56/Slice_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20200512120106
Mimic,https://static.wikia.nocookie.net/bokunoheroacademia/images/3/30/Mimic_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20191124213559
Sir Nighteye,https://static.wikia.nocookie.net/bokunoheroacademia/images/9/90/Sir_Nighteye_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20191010150939
Oji Harima,https://static.wikia.nocookie.net/bokunoheroacademia/images/2/2c/Oji_Harima_Anime.png/revision/latest/scale-to-width-down/139?cb=20200225042449
Tamaki Amajiki,https://static.wikia.nocookie.net/bokunoheroacademia/images/2/21/Tamaki_Amajiki_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20180923215237
Mick,https://static.wikia.nocookie.net/bokunoheroacademia/images/5/5e/Mick_headshot.png/revision/latest/scale-to-width-down/135?cb=20200430122934
Red,https://static.wikia.nocookie.net/bokunoheroacademia/images/b/bf/Team_Reservoir_Dogs_Anime_1.png/revision/latest/scale-to-width-down/135?cb=20180922150438
Chronostasis,https://static.wikia.nocookie.net/bokunoheroacademia/images/8/83/Chronostasis_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20200112144603
Daigoro,https://static.wikia.nocookie.net/bokunoheroacademia/images/7/7a/Daigoro_Banjo_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20210529092120
Present Mic,https://static.wikia.nocookie.net/bokunoheroacademia/images/4/47/Present_Mic_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20200401121633
Kosei Tsuburaba,https://static.wikia.nocookie.net/bokunoheroacademia/images/8/83/Kosei_Tsuburaba_Portrait.png/revision/latest/scale-to-width-down/135?cb=20181125070523
Rikido Sato,https://static.wikia.nocookie.net/bokunoheroacademia/images/e/eb/Rikido_Sato_Portrait.png/revision/latest/scale-to-width-down/135?cb=20160619044952
Serpenters,https://static.wikia.nocookie.net/bokunoheroacademia/images/2/25/Serpenters_Portrait.png/revision/latest/scale-to-width-down/135?cb=20210720211615
Eri,https://static.wikia.nocookie.net/bokunoheroacademia/images/1/15/Eri_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20200308231319
Gyges,https://static.wikia.nocookie.net/bokunoheroacademia/images/b/b4/Gyges.png/revision/latest/scale-to-width-down/151?cb=20210124184505
Gentle Criminal,https://static.wikia.nocookie.net/bokunoheroacademia/images/2/21/Gentle_Criminal_Anime_Portrait.png/revision/latest/scale-to-width-down/135?cb=20200511213536
