full_name,image
N'Doul,https://static.wikia.nocookie.net/jjba/images/2/2b/NdoulAvAnim.png/revision/latest?cb=20181222141747
Mariah,https://static.wikia.nocookie.net/jjba/images/b/b8/MariahAvAnim.png/revision/latest?cb=20181222141746
Alessi,https://static.wikia.nocookie.net/jjba/images/0/0f/AlessiAvAnim.png/revision/latest?cb=20181222141320
Oingo,https://static.wikia.nocookie.net/jjba/images/6/62/OingoAvAnim.png/revision/latest?cb=20181222141747
Boingo,https://static.wikia.nocookie.net/jjba/images/2/2d/BoingoAvAnim.png/revision/latest?cb=20181222141321
Anubis,https://static.wikia.nocookie.net/jjba/images/5/57/AnubisAvAnim.png/revision/latest?cb=20181222141320
Telence T. D'Arby,https://static.wikia.nocookie.net/jjba/images/6/61/TelenceAvAnim.png/revision/latest?cb=20181222141912
Kenny G.,https://static.wikia.nocookie.net/jjba/images/1/1e/KennyAvAnim.png/revision/latest?cb=20181222141616
Gray Fly,https://static.wikia.nocookie.net/jjba/images/8/89/GrayFlyAvAnim.png/revision/latest?cb=20181222141414
Impostor Captain Tennille,https://static.wikia.nocookie.net/jjba/images/7/7b/TennilleAvAnim.png/revision/latest?cb=20181222141912
Forever,https://static.wikia.nocookie.net/jjba/images/8/8a/ForeverAvAnim.png/revision/latest?cb=20181222141413
Devo,https://static.wikia.nocookie.net/jjba/images/f/f4/DevoAvAnim.png/revision/latest?cb=20181222141413
Rubber Soul,https://static.wikia.nocookie.net/jjba/images/f/fb/RubberSoulAvAnim.png/revision/latest?cb=20181222141911
J. Geil,https://static.wikia.nocookie.net/jjba/images/d/de/JGeilAvAnim.png/revision/latest?cb=20181222141501
Nena,https://static.wikia.nocookie.net/jjba/images/9/9d/NenaAvAnim.png/revision/latest?cb=20181222141747
ZZ,https://static.wikia.nocookie.net/jjba/images/c/cf/ZZAvAnim.png/revision/latest?cb=20181222142035
Steely Dan,https://static.wikia.nocookie.net/jjba/images/a/a7/SteelyDanAvAnim.png/revision/latest?cb=20181222141912
Arabia Fats,https://static.wikia.nocookie.net/jjba/images/9/9e/ArabiaFatsAvAnim.png/revision/latest?cb=20181222190738
Mannish Boy,https://static.wikia.nocookie.net/jjba/images/d/d1/MannishAvAnim.png/revision/latest?cb=20181222141746
Cameo,https://static.wikia.nocookie.net/jjba/images/7/7d/CameoAvAnim.png/revision/latest?cb=20181222190759
Midler,https://static.wikia.nocookie.net/jjba/images/1/16/MidlerAvAnim.png/revision/latest?cb=20181229144156
Chaka,https://static.wikia.nocookie.net/jjba/images/6/67/ChakaAvAnim.png/revision/latest?cb=20181222141321
Khan,https://static.wikia.nocookie.net/jjba/images/3/3c/KhanAvAnim.png/revision/latest?cb=20181222141616
Josuke Higashikata,https://static.wikia.nocookie.net/jjba/images/2/2e/JosukeAvAnim.png/revision/latest?cb=20181223144715
Okuyasu Nijimura,https://static.wikia.nocookie.net/jjba/images/1/1e/OkuyasuAvAnim.png/revision/latest?cb=20181223144816
Koichi Hirose,https://static.wikia.nocookie.net/jjba/images/2/2f/KoichiAvAnim4.png/revision/latest?cb=20181223144715
Rohan Kishibe,https://static.wikia.nocookie.net/jjba/images/5/56/RohanAvAnim.png/revision/latest?cb=20181223144906
Jotaro Kujo,https://static.wikia.nocookie.net/jjba/images/e/e1/JotaroAvAnim4.png/revision/latest?cb=20181223144715
Hayato Kawajiri,https://static.wikia.nocookie.net/jjba/images/4/4a/HayatoAvAnim.png/revision/latest?cb=20181223143833
Reimi Sugimoto,https://static.wikia.nocookie.net/jjba/images/1/13/ReimiAvAnim.png/revision/latest?cb=20181223144906
Shigekiyo Yangu,https://static.wikia.nocookie.net/jjba/images/4/47/ShigechiAvAnim.png/revision/latest?cb=20181223144907
Joseph Joestar,https://static.wikia.nocookie.net/jjba/images/2/2d/JosephAvAnim4.png/revision/latest?cb=20210930221818
Mikitaka Hazekura,https://static.wikia.nocookie.net/jjba/images/8/87/MikitakaAvAnim.png/revision/latest?cb=20181223144816
Yukako Yamagishi,https://static.wikia.nocookie.net/jjba/images/0/04/YukakoAvAnim.png/revision/latest?cb=20181223145059
Yuya Fungami,https://static.wikia.nocookie.net/jjba/images/e/e7/YuyaAvAnim.png/revision/latest?cb=20181223145059
Tamami Kobayashi,https://static.wikia.nocookie.net/jjba/images/8/82/TamamiAvAnim.png/revision/latest?cb=20181223144952
Toshikazu Hazamada,https://static.wikia.nocookie.net/jjba/images/b/b5/HazamadaAvAnim.png/revision/latest?cb=20181223143833
Tonio Trussardi,https://static.wikia.nocookie.net/jjba/images/c/cd/TonioAvAnim.png/revision/latest?cb=20181223144953
Aya Tsuji,https://static.wikia.nocookie.net/jjba/images/d/d2/AyaAvAnim.png/revision/latest?cb=20181223143732
Tomoko Higashikata,https://static.wikia.nocookie.net/jjba/images/3/34/TomokoAvAnim.png/revision/latest?cb=20181223144953
Ryohei Higashikata,https://static.wikia.nocookie.net/jjba/images/4/43/RyoheiAvAnim.png/revision/latest?cb=20181223144907
Shinobu Kawajiri,https://static.wikia.nocookie.net/jjba/images/4/45/ShinobuAvAnim.png/revision/latest?cb=20181223144907
Nijimura's Father,https://static.wikia.nocookie.net/jjba/images/f/f5/NijimuraDadAvAnim.png/revision/latest?cb=20181223144816
Yoshikage Kira,https://static.wikia.nocookie.net/jjba/images/2/26/KiraAvAnim.gif/revision/latest?cb=20181223144715
