full_name,image
Angel,https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/5591823-4d1c5e63-f2c0-4c40-ccf9-76a1654dd435.png
Crawford Seam,https://comicvine.gamespot.com/a/uploads/square_small/8/83555/3900654-1962054298-300px.jpg
Kinana,https://comicvine.gamespot.com/a/uploads/square_small/6/67663/3904560-6062613407-Kinan.jpg
Rufus Lore,https://comicvine.gamespot.com/a/uploads/square_small/11117/111178336/7618095-9486293130-unkno.png
Eve Tearm,https://comicvine.gamespot.com/a/uploads/square_small/6/67663/4303353-6781534328-Eve_P.jpg
Yuka Suzuki,https://comicvine.gamespot.com/a/uploads/square_small/6/67663/4692799-yuka_prop.jpg
Virgo,https://comicvine.gamespot.com/a/uploads/square_small/6/67663/4692797-virgo%2C_the_maiden.jpg
Toby Horhorta,https://comicvine.gamespot.com/a/uploads/square_small/6/67663/4692795-gmg_toby.jpg
Ooba Babasaama,https://comicvine.gamespot.com/a/uploads/square_small/6/67663/4692792-ooba_babasaama.jpg
Irene Belserion,https://comicvine.gamespot.com/a/uploads/square_small/11117/111173561/5720318-4185128273-eilee.png
Laxus Dreyar,https://comicvine.gamespot.com/a/uploads/square_small/11112/111121983/4442253-624174-laxus_dreyar.jpg
Freed Justine,https://comicvine.gamespot.com/a/uploads/square_small/5/55582/3727740-freed_mugshot.jpg
Flare Corona,https://comicvine.gamespot.com/a/uploads/square_small/6/67663/3904685-5099061557-Flare.jpg
Jura Neekis,https://comicvine.gamespot.com/a/uploads/square_small/11117/111173561/5134082-7288432428-tumbl.png
Keith,https://comicvine.gamespot.com/a/uploads/square_small/11117/111173561/5288772-7321849937-latest
Jackal,https://comicvine.gamespot.com/a/uploads/square_small/11117/111173561/5288881-9126733921-latest
Silver Fullbuster,https://comicvine.gamespot.com/a/uploads/square_small/11117/111173561/5288832-2050285750-latest
Midnight,https://comicvine.gamespot.com/a/uploads/square_small/6/67663/3904582-5694666325-Post-.jpg
Hoteye,https://comicvine.gamespot.com/a/uploads/square_small/6/67663/3904579-3939296568-Hotey.jpg
Racer,https://comicvine.gamespot.com/a/uploads/square_small/6/67663/3904573-3612311519-Racer.jpg
Cobra,https://comicvine.gamespot.com/a/uploads/square_small/8/83555/3900242-9093565350-300px.jpg
Yajima,https://comicvine.gamespot.com/a/uploads/square_small/6/67663/4692873-yajima.jpg
Ichiya Vandalay Kotobuki,https://comicvine.gamespot.com/a/uploads/square_small/6/67663/4458685-2291006921-latest
Ren Akatsuki,https://comicvine.gamespot.com/a/uploads/square_small/6/67663/4458689-4021460858-latest
Hibiki Lates,https://comicvine.gamespot.com/a/uploads/square_small/6/67663/4458684-9422413681-latest
